EDI_ID,REFINITIV_ID
100831,https://permid.org/1-4295856630
101947,https://permid.org/1-4295856631
54978,https://permid.org/1-4295856632
,https://permid.org/1-4295856633
84028,https://permid.org/1-4295856634
114706,https://permid.org/1-4295856635
,https://permid.org/1-4295856636
54639,https://permid.org/1-4295856637
91239,https://permid.org/1-4295856638
81010,https://permid.org/1-4295856639
95661,https://permid.org/1-4295856640
,https://permid.org/1-4295856642
,https://permid.org/1-4295856643
202915,https://permid.org/1-4295856644
47459,https://permid.org/1-4295856645
85183,https://permid.org/1-4295856646
77063,https://permid.org/1-4295856647
118963,https://permid.org/1-4295856648
10613,https://permid.org/1-4295856649
234968,https://permid.org/1-4295856650
84266,https://permid.org/1-4295856651
104110,https://permid.org/1-4295856653
91128,https://permid.org/1-4295856654
82332,https://permid.org/1-4295856655
79650,https://permid.org/1-4295856656
79063,https://permid.org/1-4295856658
90546,https://permid.org/1-4295856659
119004,https://permid.org/1-4295856660
63190,https://permid.org/1-4295856661
10040,https://permid.org/1-4295856662
87716,https://permid.org/1-4295856663
10496,https://permid.org/1-4295856664
10769,https://permid.org/1-4295856665
,https://permid.org/1-4295856666
118464,https://permid.org/1-4295856667
10746,https://permid.org/1-4295856668
10706,https://permid.org/1-4295856669
10017,https://permid.org/1-4295856671
,https://permid.org/1-4295856672
,https://permid.org/1-4295856673
,https://permid.org/1-4295856674
9860,https://permid.org/1-4295856675
,https://permid.org/1-4295856676
,https://permid.org/1-4295856677
10348,https://permid.org/1-4295856678
10984,https://permid.org/1-4295856679
10485,https://permid.org/1-4295856680
58264,https://permid.org/1-4295856681
,https://permid.org/1-4295856682
9945,https://permid.org/1-4295856683
,https://permid.org/1-4295856684
63418,https://permid.org/1-4295856685
10121,https://permid.org/1-4295856686
9897,https://permid.org/1-4295856687
10204,https://permid.org/1-4295856688
10820,https://permid.org/1-4295856689
,https://permid.org/1-4295856690
9918,https://permid.org/1-4295856691
,https://permid.org/1-4295856692
10562,https://permid.org/1-4295856693
,https://permid.org/1-4295856695
,https://permid.org/1-4295856696
,https://permid.org/1-4295856697
96033,https://permid.org/1-4295856698
,https://permid.org/1-4295856699
,https://permid.org/1-4295856700
10767,https://permid.org/1-4295856702
55268,https://permid.org/1-4295856703
47117,https://permid.org/1-4295856704
47573,https://permid.org/1-4295856705
47572,https://permid.org/1-4295856706
,https://permid.org/1-4295856707
10772,https://permid.org/1-4295856708
10576,https://permid.org/1-4295856711
47683,https://permid.org/1-4295856715
47604,https://permid.org/1-4295856716
55389,https://permid.org/1-4295856717
,https://permid.org/1-4295856718
10138,https://permid.org/1-4295856719
10517,https://permid.org/1-4295856720
54990,https://permid.org/1-4295856721
54507,https://permid.org/1-4295856722
47695,https://permid.org/1-4295856723
,https://permid.org/1-4295856724
47346,https://permid.org/1-4295856725
,https://permid.org/1-4295856726
,https://permid.org/1-4295856727
,https://permid.org/1-4295856728
54329,https://permid.org/1-4295856729
10346,https://permid.org/1-4295856731
,https://permid.org/1-4295856733
10511,https://permid.org/1-4295856734
,https://permid.org/1-4295856735
,https://permid.org/1-4295856736
63437,https://permid.org/1-4295856737
,https://permid.org/1-4295856738
48432,https://permid.org/1-4295856739
62304,https://permid.org/1-4295856740
63041,https://permid.org/1-4295856741
,https://permid.org/1-4295856742
47687,https://permid.org/1-4295856743
10602,https://permid.org/1-4295856744
,https://permid.org/1-4295856745
46497,https://permid.org/1-4295856746
47638,https://permid.org/1-4295856747
47577,https://permid.org/1-4295856748
54957,https://permid.org/1-4295856749
,https://permid.org/1-4295856750
47696,https://permid.org/1-4295856751
47606,https://permid.org/1-4295856752
47684,https://permid.org/1-4295856753
61841,https://permid.org/1-4295856754
57818,https://permid.org/1-4295856755
47730,https://permid.org/1-4295856756
47534,https://permid.org/1-4295856757
47532,https://permid.org/1-4295856758
63189,https://permid.org/1-4295856759
47579,https://permid.org/1-4295856761
,https://permid.org/1-4295856762
63445,https://permid.org/1-4295856763
55264,https://permid.org/1-4295856764
,https://permid.org/1-4295856765
63404,https://permid.org/1-4295856766
47727,https://permid.org/1-4295856767
63781,https://permid.org/1-4295856768
47547,https://permid.org/1-4295856769
47610,https://permid.org/1-4295856770
54366,https://permid.org/1-4295856771
62899,https://permid.org/1-4295856772
47626,https://permid.org/1-4295856773
,https://permid.org/1-4295856774
10757,https://permid.org/1-4295856775
47466,https://permid.org/1-4295856776
55000,https://permid.org/1-4295856779
47312,https://permid.org/1-4295856780
47731,https://permid.org/1-4295856781
,https://permid.org/1-4295856782
63409,https://permid.org/1-4295856783
47538,https://permid.org/1-4295856784
47609,https://permid.org/1-4295856785
47537,https://permid.org/1-4295856788
47608,https://permid.org/1-4295856789
70484,https://permid.org/1-4295856790
,https://permid.org/1-4295856791
,https://permid.org/1-4295856792
,https://permid.org/1-4295856793
47676,https://permid.org/1-4295856794
,https://permid.org/1-4295856795
55346,https://permid.org/1-4295856798
,https://permid.org/1-4295856799
,https://permid.org/1-4295856800
,https://permid.org/1-4295856801
54543,https://permid.org/1-4295856802
115488,https://permid.org/1-4295856803
10095,https://permid.org/1-4295856804
10766,https://permid.org/1-4295856805
47589,https://permid.org/1-4295856806
111491,https://permid.org/1-4295856807
110208,https://permid.org/1-4295856808
115048,https://permid.org/1-4295856809
47587,https://permid.org/1-4295856810
,https://permid.org/1-4295856811
88392,https://permid.org/1-4295856812
76405,https://permid.org/1-4295856813
63452,https://permid.org/1-4295856814
91129,https://permid.org/1-4295856815
92196,https://permid.org/1-4295856816
115747,https://permid.org/1-4295856817
79620,https://permid.org/1-4295856819
100982,https://permid.org/1-4295856820
85417,https://permid.org/1-4295856821
75578,https://permid.org/1-4295856822
47969,https://permid.org/1-4295856823
77452,https://permid.org/1-4295856824
,https://permid.org/1-4295856825
115496,https://permid.org/1-4295856826
76310,https://permid.org/1-4295856827
118466,https://permid.org/1-4295856828
118703,https://permid.org/1-4295856829
,https://permid.org/1-4295856830
100740,https://permid.org/1-4295856831
10272,https://permid.org/1-4295856832
106432,https://permid.org/1-4295856834
110765,https://permid.org/1-4295856835
86458,https://permid.org/1-4295856837
,https://permid.org/1-4295856838
,https://permid.org/1-4295856839
10133,https://permid.org/1-4295856840
9891,https://permid.org/1-4295856841
10141,https://permid.org/1-4295856842
,https://permid.org/1-4295856843
10044,https://permid.org/1-4295856844
,https://permid.org/1-4295856845
10420,https://permid.org/1-4295856846
10975,https://permid.org/1-4295856847
,https://permid.org/1-4295856848
113238,https://permid.org/1-4295856849
,https://permid.org/1-4295856850
10244,https://permid.org/1-4295856851
77130,https://permid.org/1-4295856852
,https://permid.org/1-4295856854
10995,https://permid.org/1-4295856855
99710,https://permid.org/1-4295856856
10423,https://permid.org/1-4295856857
119400,https://permid.org/1-4295856858
71122,https://permid.org/1-4295856859
,https://permid.org/1-4295856861
